template,n_creators,n_titles,example,creators,groups,n_groups,n_organisations,within_group
<ENT> demands <ENT>,2,2,Lindsey Graham DEMANDS 'IWO JIMA' Level Sacrifice,@FarronBalanced; @breakingpoints,left,1,2,True
<ENT> deploys <ENT> to <ENT>,2,2,CHINA DEPLOYS WARSHIPS TO IRAN,@ABCNews; @JacksonHinkleOfficial,neutral,1,2,True
<ENT> desperate for <ENT>,2,2,Republicans DESPERATE For 'War On Christmas' Distraction,@FarronBalanced; @TheMajorityReport,left,1,2,True
<ENT> does n't <ENT>,2,2,Riley Gaines Explains Why Dependency Doesn't Determine Who Deserves Life,@DueDissidence; @turningpointusa,left; right,2,2,False
<ENT> down and ends interview,2,2,Stephen Miller MELTS DOWN and ENDS INTERVIEW!,@adammockler; @deanwithrs,left,1,2,True
<ENT> down as <ENT>,2,2,Trump MELTS DOWN As Georgia Senate Race Slips Away,@FarronBalanced; @RebelHQ,left,1,2,True
<ENT> down on <ENT>,2,2,Abdul El-Sayed MELTS DOWN On CNN,@ActualJusticeWarrior; @DueDissidence,left; right,2,2,False
<ENT> down over <ENT>,2,2,Trump MELTS DOWN Over Ro Khanna Fox News Hits,@RealAmericasVoice; @breakingpoints,left; right,2,2,False
<ENT> dr. <ENT>,2,2,America’s Kids Are Falling Behind: A Way Out For Teachers & Parents | Dr. Hutz Hertzberg,@RealAlexClark; @nousnetwork,left; right,2,2,False
<ENT> dr. <ENT> on <ENT>,2,2,"""I Plead The Fifth"": Dr. Fauci Destroyed On Capitol Hill",@MichaelKnowles; @thejimmydoreshow,neutral; right,2,2,False
<ENT> economy unexpectedly loses <ENT> jobs in <ENT>,2,2,"U.S. economy unexpectedly loses 92,000 jobs in February",@CBSNews; @NBCNews,neutral,1,2,True
<ENT> ends <ENT> <ENT>,2,2,CANDACE OWENS ENDS NICK 'FED' FUENTES,@JacksonHinkleOfficial; @SecretScholars,neutral; right,2,2,False
<ENT> erupts over <ENT>,2,2,Albania ERUPTS Over Kushner’s Private Island Resort,@RedactedNews; @ThePodcastoftheLotusEaters,right,1,2,True
<ENT> erupts over <ENT> <ENT>,2,2,Congress ERUPTS Over Epstein As Pam Bondi CRASHES OUT & PERJURS HERSELF Live!! | Kyle Kulinski Show,@SecularTalk; @nypost,left; right,2,2,False
<ENT> explode after <ENT>,2,2,Supreme Court Reform Calls EXPLODE After Latest Right-Wing Power Grab,@RobertGouveiaEsq; @TheDamageReport,left; right,2,2,False
<ENT> exposes <ENT> 's <ENT>,2,2,Ex-UN Official EXPOSES Israel's Secret Counter-Protest Tactics Used In America,@fightbackpodcast; @usefulidiots,left; right,2,2,False
<ENT> exposes the <ENT>,2,2,Sean Strickland exposes the UFC,@LIVESNEAKO; @RealAmericasVoice,neutral; right,2,2,False
<ENT> fans celebrate <ENT> # win over <ENT> in <ENT>,2,2,France fans celebrate 3-1 win over Senegal in World Cup,@AssociatedPress; @Reuters,neutral,1,2,True
<ENT> finally admits it,2,2,Andrew Schulz FINALLY ADMITS IT,@TheYoungTurks; @thedavidpakmanshow,left,1,2,True
<ENT> finally gets caught #,2,2,McConnell FINALLY gets caught…,@adammockler; @deanwithrs,left,1,2,True
<ENT> finally turns on <ENT>,2,2,UK Finally Turns On Israel,@HasanabiClips; @TheMajorityReport,left,1,2,True
<ENT> for mocking <ENT>,2,2,Tucker Carlson SLAMS Trump For Mocking Muslims,@FoxNews; @TheYoungTurks,left; right,2,2,False
<ENT> founder <ENT> dies at <ENT>,2,2,CNN founder Ted Turner dies at 87 | RISING,@AssociatedPress; @thehill,neutral,1,2,True
<ENT> from <ENT> 's <ENT> <ENT>,2,2,Trump Gifted Nobel Peace Prize Medal from Venezuela's Machado | The Pulse 1/16,@Firstpost; @markets,neutral,1,2,True
<ENT> funeral service at <ENT>,2,2,Lindsey Graham’s funeral service at Washington National Cathedral,@CBSNews; @FoxNews,neutral; right,2,2,False
<ENT> gets busted,2,2,HEGSETH GETS BUSTED,@FarronBalanced; @TheYoungTurks,left,1,2,True
<ENT> gets exposed,2,2,Sam Altman Gets EXPOSED,@TheYoungTurks; @briantylercohen,left,1,2,True
<ENT> girls on the truth of the tates cases,2,2,Joe McBride Educates Girls On The TRUTH Of The Tates' Cases,@FreshFitMiami; @MyronGainesX,right,1,2,True
<ENT> goes off,2,2,TIM POOL GOES OFF,@RealAmericasVoice; @TimcastIRL,right,1,2,True
<ENT> gone too far,2,2,Trump Realizing He's Gone Too Far?,@KimIversen; @TheMajorityReport,left; neutral,2,2,False
<ENT> got <ENT>,2,2,Germany got Tommy Robinson’d,@LIVESNEAKO; @thomhartmann,left; neutral,2,2,False
<ENT> governor candidate <ENT> denies sexual assault allegations,2,2,California governor candidate Swalwell denies sexual assault allegations,@Reuters; @USATODAY,neutral,1,2,True
<ENT> grilled by <ENT>,2,2,Pam Bondi GRILLED by Congress | Ep 226,@PTLRadioShow; @lizwheeler,left; right,2,2,False
<ENT> gunman fires <ENT> at secret service days after <ENT>,2,2,WHITE HOUSE SHOOTING LIVE: Gunman Fires Near White House at Secret Service Days After Trump Shooting,@Firstpost; @TimesNowWorld,neutral,1,2,True
<ENT> has a message for <ENT>,2,2,Netanyahu Has A Message For Iranians,@TheYoungTurks; @jimacosta,left,1,2,True
<ENT> has lost his mind,2,2,Trump Has LOST HIS MIND,@FarronBalanced; @destiny,left,1,2,True
<ENT> has no idea what he 's doing,2,2,Hegseth Has NO IDEA WHAT HE'S DOING,@TheYoungTurks; @thewarningwithsteveschmidt,left,1,2,True
<ENT> hate <ENT>,2,2,AMERICANS HATE TRUMP,@HasanAbi; @PTLRadioShow,left,1,2,True
<ENT> have had enough,2,2,Americans Have Had ENOUGH,@bennyjohnson; @thedavidpakmanshow,left; right,2,2,False
<ENT> herself on <ENT>,2,2,AOC Utterly Humiliates Herself On The World Stage | Ep. 1735,@ActualJusticeWarrior; @MattWalsh,right,1,2,True
<ENT> holds <ENT> press briefing,2,2,Karoline Leavitt holds White House press briefing,@FoxNews; @USATODAY,neutral; right,2,2,False
<ENT> holds a press conference,2,2,Kristi Noem holds a press conference,@AssociatedPress; @USATODAY,neutral,1,2,True
<ENT> hospitalized in critical but stable condition,2,2,Rudy Giuliani hospitalized in critical but stable condition,@AssociatedPress; @USATODAY,neutral,1,2,True
<ENT> how did we get here <ENT>,2,2,Iran: How did we get here? | The Global Story,@BBCNews; @SkyNews,left; neutral,2,2,False
<ENT> humiliated as <ENT>,2,2,Fox News Host HUMILIATED as Trump Report FALLS APART,@RubinReport; @podsaveamerica,left; right,2,2,False
<ENT> humiliated by <ENT>,2,2,Bill Maher HUMILIATED By Trump,@TheMajorityReport; @destiny,left,1,2,True
<ENT> humiliated on <ENT>,2,2,Trump Press Secy HUMILIATED on Fox News,@thedavidpakmanshow; @usefulidiots,left,1,2,True
<ENT> in <ENT> after <ENT>,2,2,Trump FACT-CHECKED In Seconds After Blatant Lie To Global Audience,@RebelHQ; @nypost,left; right,2,2,False
<ENT> in <ENT> after major <ENT>,2,2,Stephen Miller RETREATS in Humiliation After MAJOR Blunder,@RebelHQ; @RobertGouveiaEsq,left; right,2,2,False
<ENT> in <ENT> election raid,2,2,Trump SECRET Operative BUSTED in Georgia ELECTION RAID,@MeidasTouch; @nypost,left; right,2,2,False
<ENT> in <ENT> rant,2,2,Brian Shapiro Interviews Pete Dominick In Hilarious Anti-Trump Rant,@PTLRadioShow; @destinyhqclips,left; neutral,2,2,False
<ENT> in <ENT> sight,2,2,Trump’s Age Problem Is Hiding in Plain Sight,@TheJoyReidShow; @bulwarkmedia,left,1,2,True
<ENT> in <ENT> what it means for <ENT> and the world,2,2,Historic Funeral in Iran: What It Means for West Asia and the World,@bushrakhanum; @nousnetwork,left; neutral,2,2,False
<ENT> in big trouble after <ENT>,2,2,Mark Zuckerberg In BIG TROUBLE After Meta Hit With Massive Legal Blow,@RobertGouveiaEsq; @TheDamageReport,left; right,2,2,False
<ENT> in hell,2,2,Fauci Belongs in Hell,@StevenCrowder; @bulwarkmedia,left; right,2,2,False
<ENT> in hilarious fashion,2,2,"""Rainbow"" Cruise GETS DENIED From ENTERING Countries in HILARIOUS FASHION",@RebelHQ; @TheOfficerTatum,left; right,2,2,False
<ENT> in plain sight,2,2,Trump REAL Economic Disaster HIDING in PLAIN SIGHT,@DemocracyDocket; @MeidasTouch,left,1,2,True
<ENT> in prison,2,2,Nick Fuentes Wants Cenk Uygur In PRISON,@FarronBalanced; @TheYoungTurks,left,1,2,True
<ENT> in public,2,2,Trump Press Secy BRUTAL COLLAPSE in public,@dollemore; @thedavidpakmanshow,left,1,2,True
<ENT> in war,2,2,Trump PANICS as Troops SUDDENLY SURGE in WAR!!,@ClubRandomPodcast; @MeidasTouch,left; neutral,2,2,False
<ENT> into arrest,2,2,Tate Drags Barron into Arrest,@adammockler; @deanwithrs,left,1,2,True
<ENT> invade <ENT>,2,2,Will Trump Invade Cuba?,@HasanAbi; @TheEconomist,left,1,2,True
<ENT> is <ENT> 's <ENT>,2,2,The Catholic Church Is NYC's Hottest Club,@fightbackpodcast; @theisabelbrown,right,1,2,True
<ENT> is <ENT> doing,2,2,WTF is Fox News doing,@HasanAbi; @TheVaushPit,left,1,2,True
<ENT> is a lie,2,2,The Official Jeffries / Kushner Meeting Story Is A LIE,@ActualJusticeWarrior; @TheYoungTurks,left; right,2,2,False
<ENT> is a monster,2,2,Laura Loomer Is A MONSTER,@TheSerfTimes; @TheYoungTurks,left,1,2,True
<ENT> is a war criminal,2,2,BENJAMIN NETANYAHU IS A WAR CRIMINAL,@HasanAbi; @fightbackpodcast,left; right,2,2,False
<ENT> is cooked #,2,2,Britain is cooked..,@AsmonTV; @LIVESNEAKO,neutral; right,2,2,False
<ENT> is done for #,2,2,TRUMP IS DONE FOR...,@HasanAbi; @harryjsisson,left,1,2,True
<ENT> is done with trump,2,2,Candace Owens Is DONE With Trump,@NYTPodcasts; @TheYoungTurks,left,1,2,True
<ENT> is doomed,2,2,SUSAN COLLINS IS DOOMED,@FarronBalanced; @HasanAbi,left,1,2,True
<ENT> is dying,2,2,The Colorado River Is Dying,@BadEmpanadaLive; @TheVaushPit,left,1,2,True
<ENT> is freaking out,2,2,AIPAC IS FREAKING OUT,@FarronBalanced; @TheMajorityReport,left,1,2,True
<ENT> is going to jail,2,2,Ilhan Omar IS GOING TO JAIL,@ActualJusticeWarrior; @PTLRadioShow,left; right,2,2,False
<ENT> is humiliating himself,2,2,PBD is humiliating himself,@LIVESNEAKO; @thewarningwithsteveschmidt,left; neutral,2,2,False
<ENT> is losing it,2,2,Bill Maher is LOSING IT,@HasanAbi; @TheMajorityReport,left,1,2,True
<ENT> is losing this war,2,2,TRUMP IS LOSING THIS WAR,@HasanAbi; @msnow,left,1,2,True
<ENT> is missing,2,2,Marco Is MISSING!,@FarronBalanced; @JacksonHinkleOfficial,left; neutral,2,2,False
<ENT> is not happy #,2,2,China is not happy...,@HasanAbi; @RebelNewsOnline,left; right,2,2,False
<ENT> is on fire,2,2,EUROPE IS ON FIRE,@HasanAbi; @ThePodcastoftheLotusEaters,left; right,2,2,False
<ENT> is out of control,2,2,TALARICO DERANGEMENT SYNDROME IS OUT OF CONTROL | The Kyle Kulinski Show,@SecularTalk; @bulwarkmedia,left,1,2,True
<ENT> is real,2,2,Marco Rubio Video Is REAL!,@RealAmericasVoice; @SabbySabs,left; right,2,2,False
<ENT> is so cooked,2,2,New York Is So Cooked,@StevenCrowder; @TheVaushPit,left; right,2,2,False
<ENT> is terrified of <ENT>,2,2,Susan Collins is TERRIFIED Of Graham Platner,@FarronBalanced; @PTLRadioShow,left,1,2,True
<ENT> it 's <ENT>,2,2,America First Coalition Forms - But It's Missing Someone,@KimIversen; @nypost,neutral; right,2,2,False
<ENT> joins <ENT> in war against <ENT>,2,2,🚨 FURIOUS Canada JOINS EUROPE in WAR against TRUMP,@MeidasTouch; @TheVaushPit,left,1,2,True
<ENT> judge <ENT> after <ENT>,2,2,PISSED OFF Judge GOES AFTER Alina Habba,@LegalAFMTN; @RobertGouveiaEsq,left; right,2,2,False
<ENT> just dropped,2,2,CRIMINAL REFERRALS JUST DROPPED,@MarkDice; @RealAmericasVoice,right,1,2,True
<ENT> just hit rock bottom,2,2,Don Lemon Just Hit Rock Bottom,@TheQuartering; @usefulidiots,left; right,2,2,False
<ENT> just lost everything #,2,2,Candace Owens just lost EVERYTHING.,@LiberalHivemind; @OfficialSaharTV,right,1,2,True
<ENT> just proved <ENT>,2,2,Mark Carney Just Proved Trump's Trade War Strategy Failed,@TheDamageReport; @usefulidiots,left,1,2,True
<ENT> just snapped #,2,2,Ireland just snapped..,@LiberalHivemind; @RebelNewsOnline,right,1,2,True
<ENT> killed <ENT> using dart frog toxin # <ENT> says,2,2,"Russia killed Alexei Navalny using dart frog toxin, UK says | BBC News",@AssociatedPress; @BBCNews,neutral,1,2,True
<ENT> legend <ENT> dead at <ENT>,2,2,Hollywood legend Robert Duvall dead at 95,@NBCNews; @SkyNews,left; neutral,2,2,False
<ENT> lets it slip and stuns the press,2,2,Pete Hegseth LETS IT SLIP and STUNS THE PRESS,@adammockler; @deanwithrs,left,1,2,True
<ENT> lied about <ENT>,2,2,The Daily Mail Lied About Charlie Kirk’s Murder,@MichaelKnowles; @fightbackpodcast,right,1,2,True
<ENT> loses it,2,2,Unhinged TikTok Leftist LOSES IT,@RealAmericasVoice; @The_Crucible,right,1,2,True
<ENT> loses it as <ENT>,2,2,Meghan McCain LOSES IT As California Election Conspiracy Spirals Out Of Control,@OfficialSaharTV; @TheDamageReport,left; right,2,2,False
<ENT> lost it #,2,2,Blizzard lost it..,@AsmonTV; @LIVESNEAKO,neutral; right,2,2,False
<ENT> major <ENT> <ENT>,2,2,Ken Paxton Suffers MAJOR Blow As Colossal Fraud Disaster Goes Public,@RealAmericasVoice; @TheDamageReport,left; right,2,2,False
<ENT> makes announcement in <ENT>,2,2,Trump makes announcement in Oval Office,@SkyNews; @msnow,left,1,2,True
<ENT> makes emotional new plea to mother 's kidnapper,2,2,Savannah Guthrie makes emotional new plea to mother's kidnapper,@ABCNews; @NBCNews,neutral,1,2,True
<ENT> meets <ENT> <ENT> in <ENT>,2,2,PM Modi meets Mauritius PM Dr Navin Ramgoolam in Victoria,@ANINewsIndia; @TimesNowWorld,neutral,1,2,True
<ENT> men in america fit her search criteria # but still thinks she 's the exceptional one,2,2,ONLY 102 Men In America Fit Her Search Criteria. But Still Thinks SHE'S The Exceptional One!,@FreshFitMiami; @MyronGainesX,right,1,2,True
<ENT> murderer <ENT> dies after prison attack,2,2,Soham murderer Ian Huntley dies after prison attack | BBC News,@BBCNews; @SkyNews,left; neutral,2,2,False
<ENT> now what,2,2,Keefe D Is Going On Trial For Tupac’s Slaying—Now What?,@MrTariqNasheed; @thomhartmann,left; right,2,2,False
<ENT> nuclear on <ENT>,2,2,Alex Jones Goes NUCLEAR On Candace Owens,@TheYoungTurks; @chicksonright,left; right,2,2,False
<ENT> obliterates <ENT>,2,2,CANDACE OWENS OBLITERATES ANDREW WILSON,@JacksonHinkleOfficial; @nypost,neutral; right,2,2,False
<ENT> old single mom tries to sabotage another woman in her prime ft # <ENT>,2,2,40 Year Old Single Mom Tries To Sabotage Another Woman In Her PRIME! Ft. Andre Williams,@FreshFitMiami; @MyronGainesX,right,1,2,True
<ENT> on ice protesters,2,2,Trump Administration’s SHOCKING Crackdown On ICE Protesters!,@franifio; @thejimmydoreshow,left; neutral,2,2,False
<ENT> on joining <ENT>,2,2,Impromptu Destiny Debate on Joining DSA,@ABCNews; @DylanBurnsLIVE,left; neutral,2,2,False
<ENT> on pope leo,2,2,Steve Schmidt: Trump Strikes Down On Pope Leo,@FoxNews; @thewarningwithsteveschmidt,left; right,2,2,False
<ENT> on stage,2,2,Vance FLOPS AGAIN On Stage | Members Only Bonus Show 06/08/2026,@LukeBeasley; @deanwithrs,left,1,2,True
<ENT> on the brink,2,2,Trump’s Ceasefire on the Brink!,@NYTPodcasts; @ThePodcastoftheLotusEaters,left; right,2,2,False
<ENT> out after <ENT>,2,2,Eric Trump CRASHES OUT After BRUTAL Public Humiliation,@FarronBalanced; @HasanReactionsfanTwo,left,1,2,True
<ENT> over <ENT> deal,2,2,Fox News COLLAPSES ON AIR over Trump’s HORRIBLE DEAL!!!!,@MeidasTouch; @RestPoliticsUS,left,1,2,True
<ENT> panel stunned by <ENT>,2,2,CNN Panel STUNNED by Trump’s Polling Collapse,@TheYoungTurks; @ponderingpolitics,left,1,2,True
<ENT> panel votes to hold <ENT> in contempt of <ENT>,2,2,Senate panel votes to hold Fauci in contempt of Congress,@FoxNewsChannelClips; @Reuters,neutral; right,2,2,False
<ENT> panic over <ENT>,2,2,Trump’s Top Stooges PANIC over NEW BOMBSHELL,@adammockler; @thedavidpakmanshow,left,1,2,True
<ENT> panicking after <ENT>,2,2,Ted Cruz Sent PANICKING After Trump Drops Supreme Court Bombshell,@FarronBalanced; @TheDamageReport,left,1,2,True
<ENT> plans to <ENT>,2,2,Vermont Plans to Abuse the Youth Some More,@Styxhexenhammer666; @markets,neutral; right,2,2,False
<ENT> pleads not guilty in parents murders,2,2,Nick Reiner pleads not guilty in parents' murders,@ABCNews; @NewsNation,neutral,1,2,True
<ENT> posted this,2,2,TRUMP POSTED THIS | Members Only Bonus Show 05/07/2026,@JackCocchiarellaShow; @LukeBeasley,left,1,2,True
<ENT> praises <ENT>,2,2,Tucker Rips Shapiro & PRAISES Venezuela’s Conservative Social Values!,@TimcastNews; @thejimmydoreshow,neutral; right,2,2,False
<ENT> prepares <ENT> troops to invade <ENT>,2,2,"Pentagon Prepares 1,500 Troops To Invade Minnesota",@FarronBalanced; @KimIversen,left; neutral,2,2,False
<ENT> president <ENT>,2,2,Tucker Apologizes For Endorsing President Trump,@MichaelKnowles; @nypost,right,1,2,True
<ENT> president <ENT> 's <ENT>,2,2,Carla Sands Highlights President Trump's Major Wins & the Need to Win the Midterms - 08/25/26,@RSBN; @TimesNowWorld,neutral; right,2,2,False
<ENT> president <ENT> <ENT>,2,2,Washington Commanders President Mark Clouse | Bloomberg Newsmakers,@Firstpost; @markets,neutral,1,2,True
<ENT> president declares no more elections,2,2,Nicaraguan President Declares No More Elections,@nypost; @oann,right,1,2,True
<ENT> press conference goes off the rails,2,2,Pete Hegseth’s Press Conference Goes Off The Rails,@PTLRadioShow; @TheYoungTurks,left,1,2,True
<ENT> prime minister <ENT> announces resignation,2,2,UK Prime Minister Keir Starmer announces resignation,@ABCNews; @BBCNews,neutral,1,2,True
<ENT> protest <ENT>,2,2,South Africans PROTEST Illegal Aliens From Other African Countries!,@AnthonyBrianLogan; @TimesNowWorld,neutral; right,2,2,False
<ENT> protesters clash with police in <ENT>,2,2,Anti-NATO protesters clash with police in Turkey,@Reuters; @nypost,neutral; right,2,2,False
<ENT> react to <ENT>,2,2,Lovett & Adam Schiff REACT to Trump's Great American State Fair,@Firstpost; @lovettorleaveitpodcast,left; neutral,2,2,False
<ENT> reacts <ENT> <ENT>,2,2,Pablo Torre REACTS: 20 Indicted In Basketball POINT SHAVING Scheme,@HasanabiClips; @breakingpoints,left,1,2,True
<ENT> refuses to answer questions about <ENT> in congressional hearing,2,2,Ghislaine Maxwell refuses to answer questions about Epstein in congressional hearing | BBC News,@BBCNews; @SkyNews,left; neutral,2,2,False
<ENT> releases <ENT> batch of declassified ufo files,2,2,Pentagon releases third batch of declassified UFO files,@NBCNews; @NewsNation,neutral,1,2,True
<ENT> remembers <ENT> <ENT>,2,2,Don Jr. Remembers Charlie Kirk: “A Generational Talent Who Built a Movement”,@FoxNews; @RealAmericasVoice,right,1,2,True
<ENT> responders testify in <ENT> murder trial,2,2,First responders testify in Lindsay Clancy murder trial,@ABCNews; @CBSNews,neutral,1,2,True
<ENT> retires from international football,2,2,Lionel Messi retires from international football | BBC News,@BBCNews; @SkyNews,left; neutral,2,2,False
<ENT> reveals <ENT>,2,2,Josh Duhamel REVEALS the Moment That Pushed Him to His Limit,@JillianMichaels; @TomiLahrenIsFearless,right,1,2,True
<ENT> revolt as <ENT>,2,2,Republicans Revolt As Mike Johnson Falls Apart,@FarronBalanced; @StatusCoup,left,1,2,True
<ENT> said what,2,2,Zohran Mamdani Said WHAT?,@SabbySabs; @lizwheeler,left; right,2,2,False
<ENT> says <ENT> # <ENT>,2,2,"Pete Hegseth Says ""No Quarter, No Mercy."" That Would Be A WAR CRIME!",@GlennKirschner2; @markets,left; neutral,2,2,False
<ENT> says <ENT> <ENT> talks are a historic opportunity,2,2,Rubio says Israel-Lebanon talks are a 'historic opportunity',@Reuters; @aljazeeraenglish,left; neutral,2,2,False
<ENT> says <ENT> is begging to make a deal # not me,2,2,"Trump says Iran is ""begging to make a deal, not me""",@AssociatedPress; @CBSNews,neutral,1,2,True
<ENT> says <ENT> will leave <ENT> in <ENT>,2,2,Trump says US will 'leave Iran in two to three weeks' | BBC News,@BBCNews; @SkyNews,left; neutral,2,2,False
<ENT> says <ENT> will not be drawn into the wider war,2,2,Keir Starmer says UK 'will not be drawn into the wider war',@AssociatedPress; @markets,neutral,1,2,True
<ENT> says everything,2,2,Trump's Latest Threat Says Everything,@TheYoungTurks; @chicksonright,left; right,2,2,False
<ENT> says he loves inflation,2,2,Trump Says He LOVES Inflation!,@SabbySabs; @TheMichaelCohenShow,left,1,2,True
<ENT> says he was an hour away from striking <ENT>,2,2,"Trump says he was ""an hour away"" from striking Iran",@AssociatedPress; @CBSNews,neutral,1,2,True
<ENT> secretary <ENT> grilled on <ENT>,2,2,HHS Secretary RFK Jr. grilled on Capitol Hill,@ABCNews; @NBCNews,neutral,1,2,True
<ENT> sen. <ENT>,2,2,Trump Shivs Sen. Bill Cassidy,@RubinReport; @bulwarkmedia,left; right,2,2,False
<ENT> set to testify in <ENT> <ENT> probe,2,2,Clintons set to testify in House Epstein probe,@msnow; @thehill,left; neutral,2,2,False
<ENT> shock secret just got blown open,2,2,Hegseth’s SHOCK SECRET just got BLOWN OPEN,@adammockler; @deanwithrs,left,1,2,True
<ENT> shocks <ENT>,2,2,Trump Assassination Attempt SHOCKS Washington,@JacksonHinkleOfficial; @podsaveamerica,left; neutral,2,2,False
<ENT> shooting live another assassination attempt on <ENT> <ENT> shooting,2,2,White House Shooting LIVE: Another Assassination Attempt on Trump? | Washington DC Shooting,@Firstpost; @TimesNowWorld,neutral,1,2,True
<ENT> shut down,2,2,Karmelo Anthony Trial SHUT DOWN,@PTLRadioShow; @TheQuartering,left; right,2,2,False
<ENT> sister just ended his senate race,2,2,Abdul El-Sayed's Sister Just ENDED His Senate Race!!!,@DrSteveTurleyTV; @JillianMichaels,right,1,2,True
<ENT> snaps on <ENT>,2,2,Jeremy Scahill SNAPS On Ro Khanna,@PTLRadioShow; @TheYoungTurks,left,1,2,True
<ENT> sounds the alarm,2,2,ROGAN SOUNDS THE ALARM,@RealAmericasVoice; @TimcastIRL,right,1,2,True
<ENT> speaks at <ENT> in <ENT>,2,2,Roland speaks at Ubiquitous Women’s Expo 2026 in Maryland,@rolandsmartin; @thehill,left; neutral,2,2,False
